Links:,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
Link__5_4,0,0,0,0,0,0,0,0,0
Link__4_5,0,0,0,0,0,0,0,0,0
Link__1_0,13064,13312,14560,13864,15448,18576,16832,15544,12320
Link__0_1,2600,2664,2864,2656,2280,2592,2424,2848,3128
Link__7_5,0,0,0,0,0,0,0,0,0
Link__5_7,0,0,0,0,0,0,0,0,0
Link__0_2,0,0,0,0,0,0,0,0,0
Link__2_0,0,0,0,0,0,0,0,0,0
Link__3_1,1328,1136,952,1376,1192,1208,1456,1368,984
Link__1_3,2944,3392,3200,3392,3264,2752,2624,3776,3072
Link__6_2,0,0,0,0,0,0,0,0,0
Link__2_6,0,0,0,0,0,0,0,0,0
Link__1_5,0,0,0,0,0,0,0,0,0
Link__5_1,0,0,0,0,0,0,0,0,0
Link__0_4,368,376,384,392,424,920,664,544,568
Link__4_0,2568,1944,2184,2752,1880,2792,2456,2912,2704
Link__5_0,5024,4576,5968,4224,5928,5624,6544,5160,5112
Link__0_5,1080,1488,1728,1272,1416,1120,1256,1344,1496
Link__1_7,0,0,0,0,0,0,0,0,0
Link__7_1,0,0,0,0,0,0,0,0,0
Link__2_5,0,0,0,0,0,0,0,0,0
Link__5_2,0,0,0,0,0,0,0,0,0
Link__0_7,1152,768,448,1344,960,832,960,1024,576
Link__7_0,312,312,120,248,248,240,192,320,192
Link__6_1,1976,2336,3304,2816,3040,3064,4024,4080,4768
Link__1_6,6712,6360,4176,5376,6688,4104,5616,6304,5264
Link__0_9,896,1208,1280,1288,1040,880,1432,896,632
Link__9_0,2728,2384,2112,3200,2192,2344,3704,1840,4304
Link__1_8,3072,5056,4672,4736,3648,3584,5760,3712,4224
Link__8_1,704,1152,672,888,632,664,888,656,824
Link__3_9,0,0,0,0,0,0,0,0,0
Link__9_3,0,0,0,0,0,0,0,0,0
Link__8_3,4160,4288,4224,4288,4288,4224,4288,4288,4224
Link__3_8,600,592,616,600,632,424,592,584,568
Link__2_9,1488,1896,2136,2568,1776,2216,2952,1648,1352
Link__9_2,7456,6344,8088,8704,7328,8984,6584,6824,8392
Link__5_9,0,0,0,0,0,0,0,0,0
Link__9_5,0,0,0,0,0,0,0,0,0
Link__5_8,0,0,0,0,0,0,0,0,0
Link__8_5,0,0,0,0,0,0,0,0,0
Link__9_7,8896,9152,8384,8640,9536,8320,11520,8832,9280
Link__7_9,1336,1224,1208,1344,1280,1200,1656,1264,1280
