Links:,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
Link__4_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__5_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__3_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__2_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__6_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__7_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__2_0,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__0_2,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__5_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__6_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__5_1,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__1_5,4224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__0_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__4_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__2_6,584,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__6_2,4672,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__3_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__7_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__0_5,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__5_0,4224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__2_7,4544,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__7_2,568,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__7_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__1_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__6_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__0_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__1_6,2624,24720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__6_1,328,3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__9_1,584,8832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__1_9,4672,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__8_1,8256,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__1_8,1032,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__2_9,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__9_2,4608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__4_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__8_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__4_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__9_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__9_7,7872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__7_9,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__9_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Link__6_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
